scenario,stage,global_planner,local_planner,task_manager,packages_delivered,pph,total_collision_events,agent_agent_collision_events,replan_events,real_runtime_seconds,status,record_tag
small,baseline,LayeredAStar,DullPlanner,NaiveTaskManager,4,240.0,8,8,100,8.523,available,stage_chain_small_60s_LayeredAStar_DullPlanner_NaiveTaskManager
small,baseline,LayeredAStar,VirtualForcePlanner,NaiveTaskManager,0,0.0,0,0,16,15.459,available,stage_chain_small_60s_LayeredAStar_VirtualForcePlanner_NaiveTaskManager
small,v1,LayeredAStarCollisionAware,DullPlanner,NaiveTaskManager,5,300.0,0,0,203,18.814,available,stage_chain_small_60s_LayeredAStarCollisionAware_DullPlanner_NaiveTaskManager
small,v1,LayeredAStarCollisionAware,VirtualForcePlanner,NaiveTaskManager,0,0.0,0,0,1135,27.966,available,stage_chain_small_60s_LayeredAStarCollisionAware_VirtualForcePlanner_NaiveTaskManager
small,v2,LayeredAStarReservationAware,DullPlanner,NaiveTaskManager,0,0.0,0,0,1124,38.762,available,stage_chain_small_60s_LayeredAStarReservationAware_DullPlanner_NaiveTaskManager
small,v2,LayeredAStarReservationAware,VirtualForcePlanner,NaiveTaskManager,0,0.0,0,0,1157,24.251,available,stage_chain_small_60s_LayeredAStarReservationAware_VirtualForcePlanner_NaiveTaskManager
small,v3,LayeredAStarQueueAware,DullPlanner,NaiveTaskManager,1,60.0,1,1,965,30.711,available,stage_chain_small_60s_LayeredAStarQueueAware_DullPlanner_NaiveTaskManager
small,v3,LayeredAStarQueueAware,VirtualForcePlanner,NaiveTaskManager,0,0.0,0,0,1133,29.094,available,stage_chain_small_60s_LayeredAStarQueueAware_VirtualForcePlanner_NaiveTaskManager
medium,baseline,LayeredAStar,DullPlanner,NaiveTaskManager,6,360.0,235,235,616,52.631,available,stage_chain_medium_60s_LayeredAStar_DullPlanner_NaiveTaskManager
medium,baseline,LayeredAStar,VirtualForcePlanner,NaiveTaskManager,0,0.0,1,1,1097,83.147,available,stage_chain_medium_60s_LayeredAStar_VirtualForcePlanner_NaiveTaskManager
medium,v1,LayeredAStarCollisionAware,DullPlanner,NaiveTaskManager,6,360.0,0,0,404,84.495,available,stage_chain_medium_60s_LayeredAStarCollisionAware_DullPlanner_NaiveTaskManager
medium,v1,LayeredAStarCollisionAware,VirtualForcePlanner,NaiveTaskManager,0,0.0,0,0,3133,83.645,available,stage_chain_medium_60s_LayeredAStarCollisionAware_VirtualForcePlanner_NaiveTaskManager
medium,v2,LayeredAStarReservationAware,DullPlanner,NaiveTaskManager,7,420.0,6,6,242,81.186,available,stage_chain_medium_60s_LayeredAStarReservationAware_DullPlanner_NaiveTaskManager
medium,v2,LayeredAStarReservationAware,VirtualForcePlanner,NaiveTaskManager,0,0.0,0,0,3133,86.338,available,stage_chain_medium_60s_LayeredAStarReservationAware_VirtualForcePlanner_NaiveTaskManager
medium,v3,LayeredAStarQueueAware,DullPlanner,NaiveTaskManager,5,300.0,0,0,721,67.102,available,stage_chain_medium_60s_LayeredAStarQueueAware_DullPlanner_NaiveTaskManager
medium,v3,LayeredAStarQueueAware,VirtualForcePlanner,NaiveTaskManager,0,0.0,0,0,3134,76.11,available,stage_chain_medium_60s_LayeredAStarQueueAware_VirtualForcePlanner_NaiveTaskManager
high,baseline,LayeredAStar,DullPlanner,NaiveTaskManager,5,300.0,949,949,2082,105.051,available,stage_chain_high_60s_LayeredAStar_DullPlanner_NaiveTaskManager
high,baseline,LayeredAStar,VirtualForcePlanner,NaiveTaskManager,0,0.0,42,42,136,168.768,available,stage_chain_high_60s_LayeredAStar_VirtualForcePlanner_NaiveTaskManager
high,v1,LayeredAStarCollisionAware,DullPlanner,NaiveTaskManager,7,420.0,27,27,470,120.35,available,stage_chain_high_60s_LayeredAStarCollisionAware_DullPlanner_NaiveTaskManager
high,v1,LayeredAStarCollisionAware,VirtualForcePlanner,NaiveTaskManager,0,0.0,0,0,2061,133.898,available,stage_chain_high_60s_LayeredAStarCollisionAware_VirtualForcePlanner_NaiveTaskManager
high,v2,LayeredAStarReservationAware,DullPlanner,NaiveTaskManager,3,180.0,1068,1068,3932,158.4,available,stage_chain_high_60s_LayeredAStarReservationAware_DullPlanner_NaiveTaskManager
high,v2,LayeredAStarReservationAware,VirtualForcePlanner,NaiveTaskManager,0,0.0,0,0,2122,82.397,available,stage_chain_high_60s_LayeredAStarReservationAware_VirtualForcePlanner_NaiveTaskManager
high,v3,LayeredAStarQueueAware,DullPlanner,NaiveTaskManager,7,420.0,18,18,523,72.804,available,stage_chain_high_60s_LayeredAStarQueueAware_DullPlanner_NaiveTaskManager
high,v3,LayeredAStarQueueAware,VirtualForcePlanner,NaiveTaskManager,0,0.0,0,0,2561,84.955,available,stage_chain_high_60s_LayeredAStarQueueAware_VirtualForcePlanner_NaiveTaskManager
